ITEM CODE,ITEM DESCRIPTION,ITEM TYPE_DUNNAGE,ITEM TYPE_KEGS,ITEM TYPE_LIQUOR,ITEM TYPE_NON-ALCOHOL,ITEM TYPE_REF,ITEM TYPE_STR_SUPPLIES,ITEM TYPE_WINE,ITEM TYPE_Wine
3,4504,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8,22397,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,27453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,28185,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20,27966,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
46,9385,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
53,27882,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
59,17438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,18635,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
86,18783,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
92,17390,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
95,23502,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
96,23504,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
97,23503,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
102,1171,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
115,25527,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
120,16209,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
132,26214,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
137,21152,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
140,2997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
151,33901,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
152,33902,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
156,18634,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
157,7732,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
159,32411,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
163,14546,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
164,7053,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
167,22459,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
176,23737,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
178,9541,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
179,16691,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
185,391,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
190,13277,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
192,1073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,34128,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
197,537,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
198,34118,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
200,31471,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
211,1103,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
217,10424,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
218,15722,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
221,18622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,18621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,32143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,32885,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
229,24431,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
231,13497,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
232,10185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,14226,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
238,10658,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
243,19949,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
244,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,22857,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
247,28640,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
248,30360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
